date,blk,blk_time_s,age_days,age_sply,window,BlkSizeByte,BlkSizeByte,BlkSizeMeanByte,BlkSizeMeanByte,BlkCnt,CapMrktCurUSD,CapMrktCurBTC,CapRealUSD,CapRealBTC,CapMVRVCur,PriceBTC,PriceUSD,PriceRealBTC,PriceRealUSD,BTC_PriceUSD,DailyIssuedNtv,DailyIssuedUSD,AdrActCnt,TxCnt,TxTfrCnt,TxTfrValNtv,TxTfrValUSD,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMedNtv,TxTfrValMeanNtv,FeeTotNtv,FeeTotUSD,S2F,inf_pct_ann,SplyCur,dcr_sply,dcr_tic_sply_avg,tic_day,tic_price_avg,tic_pool_avg,DiffMean,pow_diff_avg,pow_hashrate_THs_avg,pow_work_TH,dcr_anon_sply,dcr_anon_part,dcr_anon_mix_vol,PoW_income_dcr,PoS_income_dcr,Fund_income_dcr,Total_income_dcr,PoW_income_usd,PoS_income_usd,Fund_income_usd,Total_income_usd,PoW_income_btc,PoS_income_btc,Fund_income_btc,Total_income_btc,dcr_tic_vol,dcr_tfr_vol,tic_tfr_vol_ratio,tic_usd_cost,tic_btc_cost,CapTicUSD,CapTicBTC,CapTicPriceUSD,CapTicPriceBTC,PriceBTC_onchain,DCRBTC_MVRV,Price_DCRBTC_MVRV,Price_DCRBTC_Mid,DCRBTC_MVRV_28avg,DCRBTC_MVRV_142avg,MrktGradient,RealGradient,DeltaGradient,UnrealisedPnL_Net,UPnL_capitulation,UPnL_fear,UPnL_optimism,UPnL_belief,UPnL_euphoria,Mayer_Multiple,200DMA,128DMA
2018-07-31 00:00:00+00:00,261519.0,101.0,904.0,0.3906050798327833,1816.0,2771733.0,2771733.0,8688.81818182,8688.81818182,319.0,462239218.4160347,59835.761567510184,475515780.56669444,98064.71799387479,0.97207966,0.0072946362618351804,56.3520355714972,0.011955165759487569,57.970594258803985,7725.13303594389,6502.925099499524,366453.0665257791,12111.0,5207.0,7969.0,216168.60141985,12181540.716652187,34917.74347262,1967685.9222454964,0.77863037,27.12618916,2.54011951,143.14090498337404,3.4558554239553305,0.2893639569144562,8202706.67648845,8206269.64908122,3818766.5671951734,1530.0,91.65773418787501,41067.884375,3365978136.52531,3365592329.858613,51821.546875,251765000000,0.0,0.0,0.0,3904.2951792097138,1950.877529849857,650.2925099499524,6505.465219009524,220014.98082045082,109935.91995773373,36645.306652577914,366596.2074307625,28.48041319117146,14.230941971642212,4.7436473238807375,47.45500248669442,140236.33330744877,75932.26811240122,0.6487359051515396,7902602.84295769,1022.9730421713206,3335422443.1491055,641479.9487453756,406.6246148615165,0.07820344845245532,0.005373656685827353,0.6480424917306522,0.011256416600637156,0.008315036643232255,0.7750239672276125,0.861830625208013,-0.48890689495058226,-0.21656801616208554,-0.2723388787884967,-0.02872227544031168,0.0,0.0,-0.02872227544031168,0.0,0.0,0.7390496391627457,76.24932424747176,75.79499298490933
2018-08-01 00:00:00+00:00,261807.0,1477.0,905.0,0.3908848135742619,1818.0,3106521.0,3106521.0,10786.53125,10786.53125,288.0,468683788.99602926,61695.72467627834,473265326.7948049,97768.47694699623,0.9903193,0.007516003562244295,57.0968093193456,0.011910520945568213,57.65494936222274,7596.6980119813,5874.408571050502,335409.9860452,11457.0,4800.0,7798.0,641749.8309509,36641867.72852581,100608.39820694,5744418.5283464445,0.707883875,82.29672108,2.93487108,167.5717744316219,3.828345096316083,0.2612094716754438,8208581.0850595,8212144.0668361,3814280.963907849,1531.0,92.19901439432527,41042.87197231834,3662358727.93593,3661510532.9277897,53342.17993079585,256296000000,0.0,0.0,0.0,3527.5800137103015,1762.3225713151508,587.4408571050502,5877.343442130503,201413.56340155163,100622.99581356,33540.99860452,335577.55781963165,26.513303949148405,13.245622723828198,4.415207574609399,44.174134247586004,141156.691037712,500593.13991318794,0.21995594580610314,8059596.672330023,1060.9341926740608,3343482039.8214355,642540.8829380497,407.3154672135641,0.07827672971490081,0.005349101124725721,0.6711806839170092,0.011198182162187553,0.008273641643456637,0.7687508564468138,0.8622864589864703,-0.430984910235539,-0.21731501941894596,-0.21366989081659302,-0.009775328070530788,0.0,0.0,-0.009775328070530788,0.0,0.0,0.751993638388045,75.92725045086407,75.86468092123802
2018-08-02 00:00:00+00:00,262091.0,442.0,906.0,0.39116141756559236,1820.0,2884923.0,2884923.0,10158.17957746,10158.17957746,284.0,440998885.98363286,58467.02083959448,470361261.30085224,97383.45997042097,0.93757484,0.007117634113383987,53.6861408323334,0.011855227559250475,57.260645590856925,7542.69466189363,5808.683817939833,311845.8175004139,11821.0,5170.0,8073.0,2266259.07302186,121666703.75680491,61275.33905437,3289636.482021887,0.739624025,280.72080677,2.83675818,152.29459915875378,3.874402214744958,0.2581043331521602,8214389.76887744,8217952.75683989,3812815.549773566,1405.0,92.69200652522807,41041.98947368421,3792449712.50973,3792594408.0646725,54411.74736842105,260922000000,0.0,0.0,0.0,3488.0470489438994,1742.6051453819498,580.8683817939833,5811.520576119833,187259.7850994071,93553.74525012418,31184.581750041394,311998.1120995727,24.826642664651445,12.40322582892903,4.1344086096430095,41.364277103223486,130232.26916794543,2136026.8038539146,0.057465746400428966,6991667.943464669,926.945641693174,3350473707.7649,643467.8285797429,407.8785889195477,0.07833422161408805,0.00531751411571473,0.6397630749645372,0.011125421881809178,0.008221467998761955,0.76227129374836,0.8625066131206621,-0.4497286741145786,-0.21888477709390944,-0.23084389702066918,-0.06658151811818665,0.0,0.0,-0.06658151811818665,0.0,0.0,0.7097483712595319,75.64109056997346,75.92574769071945
2018-08-03 00:00:00+00:00,262401.0,321.0,907.0,0.39146208173066765,1822.0,4396123.0,4396123.0,14181.04193548,14181.04193548,310.0,454101949.89524513,61271.19920064337,467996799.4977987,97064.4271845661,0.97030995,0.007453279100526008,55.2388172064176,0.011807313647806954,56.92904350358099,7411.34425014611,6313.947466580197,348774.989957347,12939.0,5556.0,8526.0,241419.9517033,13335752.582120754,39468.06079855,2180168.99594288,0.9238585,28.31573442,4.3293718,239.14937747881913,3.567099038185041,0.2803398473928566,8220703.71634402,8224266.72893024,3818449.7575583016,1632.0,94.01405831257235,41108.0192926045,3933176445.56403,3931331769.8578424,61098.32797427653,266158000000,0.0,0.0,0.0,3792.697851748118,1894.184239974059,631.3947466580198,6318.276838380198,209504.143351887,104632.4969872041,34877.498995734706,349014.13933482586,28.268035633044136,14.117883808344395,4.7059612694481325,47.09188071083667,153430.94316611806,87989.00853718194,0.6355354728704504,8475343.823361443,1143.5636420740213,3358949051.5882616,644611.3922218169,408.596291447672,0.07841316442778866,0.0052938230370833065,0.6733663187147997,0.011068684152114237,0.008181253594598772,0.7567681439883925,0.8630474714908517,-0.42496944156903915,-0.21907783551165746,-0.2058916060573817,-0.030598524418930354,0.0,0.0,-0.030598524418930354,0.0,0.0,0.7327193502427696,75.38877905724135,75.99604162890012
2018-08-04 00:00:00+00:00,262691.0,565.0,908.0,0.3917449457318376,1824.0,2632321.0,2632321.0,9076.96896552,9076.96896552,290.0,411368883.75723624,58748.446976184845,464476674.9718095,96561.71087025516,0.88566102,0.007141241066627705,50.0044599887183,0.011737679728113182,56.46004407816907,7002.2086528346,5940.144024569541,297033.69420381176,11597.0,4890.0,7567.0,224805.68020163,11241286.640879009,30292.87221488,1514778.7166123232,0.74245811,29.70869304,2.43687173,121.85445492042375,3.7943104088310373,0.2635525015751368,8226643.86036859,8230206.87443625,3837852.437723547,1623.0,96.05369436457045,41305.7147766323,4269788296.7297,4269552832.693575,62015.037800687285,271477000000,0.0,0.0,0.0,3566.5232864717245,1782.0432073708623,594.0144024569541,5942.580896299542,178342.07097720745,89110.10826114351,29703.369420381176,297155.54865873215,25.469402558435885,12.726000134981753,4.242000044993918,42.437402738411556,155895.14595369782,68910.53424793217,0.6934662229792158,7795452.588277083,1113.2848183724668,3366744504.1765385,645724.6770401894,409.2488457408066,0.07849187201975923,0.00525899849812662,0.6498336376149215,0.010989337352307794,0.008124167925217207,0.751658401730589,0.8632482737453179,-0.5481546700717644,-0.224152606168895,-0.32400206390286945,-0.12910016608332997,0.0,0.0,-0.12910016608332997,0.0,0.0,0.6647201340337235,75.22633575919546,76.07145854430475
2018-08-05 00:00:00+00:00,262967.0,1308.0,909.0,0.3920143120339872,1826.0,2247846.0,2247846.0,8144.36956522,8144.36956522,276.0,411814518.7997572,58566.36273078667,461768937.0430365,96176.62886251387,0.89181945,0.00711421580829925,50.0242327357697,0.011682837409381246,56.09233215991088,7031.58775102279,5656.692345140502,282971.69438795536,10555.0,4305.0,6701.0,206466.22667363,10328314.57519785,39577.08785166,1979813.4536954435,0.568999645,30.81125603,2.3428439,117.19896851717836,3.987179558917032,0.2508038540084241,8232300.55271373,8235863.56901562,3844064.849057071,1536.0,98.31746853108304,41336.70397111913,4453590259.42654,4452673156.301773,60622.1119133574,276756000000,0.0,0.0,0.0,3396.358250984301,1697.0077035421505,565.6692345140502,5659.035189040502,169900.2156012904,84891.50831638661,28297.16943879554,283088.89335647254,24.162425559800106,12.072879031345174,4.024293010448392,40.25959760159367,151015.63166374355,55450.595009886456,0.731430191255737,7554441.10508638,1074.3577940825012,3374298945.281625,646799.0348342719,409.88529557139486,0.07856844276914286,0.005228945891278467,0.6514670047851319,0.010920301037572385,0.008074623464425426,0.7473209628097457,0.8634659594506737,-0.46786975909335,-0.22556406801481746,-0.24230569107853253,-0.12130319831576757,0.0,0.0,-0.12130319831576757,0.0,0.0,0.6665128243426817,75.05366874989068,76.16040900661305
2018-08-06 00:00:00+00:00,263253.0,317.0,910.0,0.39229306763133187,1828.0,2502669.0,2502669.0,8750.59090909,8750.59090909,286.0,410377573.01657075,59217.620813789115,459156909.3704964,95799.71239719485,0.89376325,0.007188214470485099,49.8142608261184,0.011628783282044253,55.735409406918876,6929.99089421391,5853.867544239387,291606.08469029,10919.0,4403.0,6902.0,242073.16289222,12058695.675316494,50999.54253481,2540504.513841745,0.71421464,35.07290103,2.33903135,116.51711774936784,3.855619539104413,0.2593616900884056,8238154.42025797,8241717.4468483,3852552.152224716,1268.0,99.74824363038327,41363.243902439026,4391158696.82339,4392418401.156007,58381.56445993031,282150000000,0.0,0.0,0.0,3514.659557893632,1756.1602632718161,585.3867544239387,5856.206575589387,175080.16793192338,87481.825407087,29160.608469029,291722.6018080394,25.264126692879767,12.623656616941389,4.207885538980463,42.09566884880162,126480.77292332599,115592.389968894,0.5224898597274079,6300546.211891615,909.1709221655917,3380599491.4935164,647708.2057564375,410.3588399824698,0.07862297460262406,0.005203685720066028,0.6618458517179661,0.01086085899281005,0.008032272356438039,0.743153605241063,0.8639954724305128,-0.46546305706617147,-0.2254937704977506,-0.23996928656842087,-0.1188645275992116,0.0,0.0,-0.1188645275992116,0.0,0.0,0.6651141660547168,74.8958049136189,76.24059278824271
2018-08-07 00:00:00+00:00,263564.0,439.0,911.0,0.39259588455959527,1830.0,2549910.0,2549910.0,8199.06752412,8199.06752412,311.0,389851731.6005296,57991.39950515369,455903276.60553044,95315.72655790778,0.85511939,0.007033938263588545,47.2862016683615,0.011561109783146862,55.29777741483968,6722.57843278784,6359.155493530445,300700.3091075495,11357.0,4794.0,7433.0,268881.78988801,12714398.541594444,59168.61907756,2797859.2541399635,0.766156835,36.17406026,2.64212942,124.93626458803101,3.5519981308361284,0.281531679681544,8244513.5757515,8248076.60676757,3844793.912694649,1373.0,100.41324977038462,41194.61538461538,3992667833.63359,3992779220.20754,64089.13461538462,287483000000,0.0,0.0,0.0,3818.1354255382666,1907.7466480591333,635.9155493530445,6361.797622950445,180545.12172911773,90210.09273226485,30070.030910754955,300825.2453721375,26.856528865256546,13.418972145015928,4.472990715005309,44.74849172527779,137867.3919347381,131014.39795327192,0.5127435070711194,6519225.2985170605,969.750723430913,3387118716.7920337,648677.9564798684,410.8330571198426,0.0786799549202926,0.005171271532329117,0.6521320325489403,0.010786064650275666,0.007978668091302392,0.7387501521557435,0.8643694502137858,-0.4149872637594643,-0.22536641651478537,-0.18962084724467895,-0.16942734801722528,0.0,0.0,-0.16942734801722528,0.0,0.0,0.6337813647899053,74.609643475454,76.30269300890807
2018-08-08 00:00:00+00:00,263822.0,249.0,912.0,0.39284803651341377,1832.0,2337906.0,2337906.0,9061.65116279,9061.65116279,258.0,372242726.3630387,59393.5920923585,452749597.14255744,94812.53780941578,0.82218235,0.007199390164231452,45.1213763720069,0.011492695223577024,54.88001115438926,6267.3886735827,5295.191030189395,238926.30743485063,10498.0,4286.0,6944.0,237219.97530844,10703691.788850306,49456.76494349,2231557.3051570887,0.744767405,34.1618628,2.30188338,103.86414635344738,4.268442001533129,0.2342775185046025,8249808.76678169,8253371.79871588,3839591.8572091274,1148.0,100.16225612057916,41046.67567567567,4275161867.29485,4275279531.3229218,55629.019305019305,292221000000,0.0,0.0,0.0,3179.416501493637,1588.5573090568184,529.5191030189395,5297.492913569395,143459.64860726384,71677.8922304552,23892.630743485064,239030.17158120408,22.889859888848466,11.436643866141642,3.812214622047214,38.13871837703732,114986.27002642487,122233.70528201514,0.48472423065096654,5188338.767475532,827.831021449905,3392307055.5595093,649505.7875013183,411.19826549420407,0.07872979918232641,0.005143709854987298,0.6714023433147085,0.010722914860094345,0.007933312357540821,0.7350057896020464,0.8648551380174251,-0.5064281129219036,-0.22715443598354618,-0.2792736769383574,-0.21627520184505217,0.0,0.0,-0.21627520184505217,0.0,0.0,0.6078361710147036,74.23279252480586,76.33070384146531
2018-08-09 00:00:00+00:00,264128.0,208.0,913.0,0.3931457673916262,1834.0,2557816.0,2557816.0,8358.87581699,8358.87581699,306.0,393072239.8086876,59936.936786078084,449934239.01179063,94383.24282181739,0.87362153,0.007259749649327882,47.6101417277379,0.0114319942045699,54.49744529895901,6558.09690794857,6252.34844246041,297675.1954767414,11196.0,4708.0,7321.0,254795.91991305,12130869.858709665,52899.07415039,2518532.4175661844,0.58280114,34.80343121,2.51369732,119.67748566583492,3.617735916244127,0.276415974839364,8256061.11522415,8259624.15103961,3831517.6044180836,1410.0,99.35319434973941,40871.64820846906,4090860808.11912,4091367657.2723427,62435.06514657981,297597000000,0.0,0.0,0.0,3753.922762796246,1875.704532738123,625.2348442460411,6254.86213978041,178724.79477171067,89302.55864302242,29767.519547674146,297794.87296240724,27.252539460814,13.617145323788305,4.53904844126277,45.40873322586508,140088.00403313257,114707.91587991742,0.5498047381643242,6669609.72637336,1017.003838154577,3398976665.2858825,650522.7913394729,411.69470742145796,0.07879335947985062,0.005116178036054279,0.6811167900717325,0.010658597402309395,0.007887387719181837,0.7319022630910067,0.8655489131476176,-0.30946248035869645,-0.22317591157881392,-0.08628656877988253,-0.14466042992702394,0.0,0.0,-0.14466042992702394,0.0,0.0,0.6437021169874625,73.96300318314039,76.33722723726089
2018-08-10 00:00:00+00:00,264432.0,1705.0,914.0,0.3934400014471476,1836.0,2580908.0,2580908.0,8489.82894737,8489.82894737,304.0,349438880.4825964,56951.27321600626,445645827.01799434,93684.32081638917,0.78411792,0.006892957963763892,42.2934796371557,0.011338852474849474,53.93765194170391,6135.75185856224,6178.915165949613,261327.82275080247,11022.0,4712.0,7518.0,218213.44706093,9229005.979824996,45839.57309237,1938715.051158061,0.662175225,29.02546516,2.38975453,101.07103455235558,3.6634706008921887,0.2729652040216901,8262240.0303901,8265803.06806119,3832481.2971676746,1384.0,97.81930021829507,40791.416393442625,4359862231.94096,4356587952.047027,65168.75737704918,303290000000,0.0,0.0,0.0,3709.7388540997677,1853.6745497848838,617.8915165949613,6181.3049204796125,156897.76468503385,78398.34682524073,26132.782275080248,261428.89378535483,25.57107397785133,12.777300750166162,4.259100250055388,42.60747497807288,135381.91150212038,82831.53555880961,0.6204104894796826,5725772.117354143,933.1818250381192,3404702437.4032364,651455.973164511,412.07982640059953,0.07884737925409227,0.005072903581724991,0.6526254063969329,0.01056189032207479,0.00781739695189989,0.7273691785222686,0.8660836983596852,-0.5327564073043393,-0.22694771864550947,-0.3058086886588298,-0.2753183801485693,0.0,-0.2753183801485693,0.0,0.0,0.0,0.573650013612455,73.72697399729901,76.33869190368885
2018-08-11 00:00:00+00:00,264683.0,857.0,915.0,0.39368249053429477,1838.0,2398630.0,2398630.0,9556.29482072,9556.29482072,251.0,355515737.40699905,56308.18074170713,442297880.4222909,93154.05798358345,0.80379254,0.006810925059029805,43.0024734042114,0.011267728765400501,53.49946806384103,6313.74931180596,5092.270830090158,218980.2409379935,10590.0,4360.0,7039.0,227091.63436365,9765501.967041759,52643.69149522,2263808.9434227077,0.65894437,32.26191709,2.42522664,104.29074408578498,4.447961673396311,0.22482208108516238,8267332.30122019,8270895.34185131,3820005.8737653233,1125.0,95.82072925011906,40601.95238095238,4720774123.60403,4724021492.409369,60554.06349206349,308379000000,0.0,0.0,0.0,3057.7877246940943,1527.6812490270472,509.2270830090158,5094.696056730158,131492.43530688187,65694.07228139805,21898.024093799355,219084.5316820793,20.82636303931274,10.404922501208269,3.4683075004027564,34.699593040923766,107798.32040638394,119293.31395726606,0.47469084763273406,4635594.406294185,734.2062817771643,3409338031.8095307,652190.1794462882,412.3867176968731,0.07888762126448338,0.00503724733271849,0.6497431655729088,0.010482488189043583,0.007759867760881036,0.7225625535021953,0.8665809391597573,-0.5236574185224,-0.2298637011662927,-0.29379371735610726,-0.24410211387053884,0.0,0.0,-0.24410211387053884,0.0,0.0,0.5851857683478593,73.48516613043962,76.33235865317592
2018-08-12 00:00:00+00:00,264959.0,748.0,916.0,0.39394918987305855,1839.0,2730874.0,2730874.0,9894.47101449,9894.47101449,276.0,340453625.3293144,53914.528830388015,438620662.31642747,92571.73056265371,0.77619149,0.006516978792518998,41.1527116018642,0.01118971115859152,53.01876166384412,6314.69165575687,5600.686114040203,230483.420423662,11470.0,4940.0,7648.0,314670.12393935,12949528.860198934,49239.53736892,2026340.4807523799,0.9134364,41.14410616,2.6784781,110.22663678120918,4.046927352613687,0.24710105046836464,8272932.98733423,8276496.02955818,3823993.127704334,1565.0,95.3391559859567,40609.61732851985,4188419875.30206,4189105744.1733484,57471.38628158845,313344000000,0.0,0.0,0.0,3363.0901465241222,1680.205834212061,560.0686114040203,5603.364592140203,138400.2788909784,69145.0261270986,23048.3420423662,230593.64706044318,21.917187162227314,10.949865788626694,3.6499552628755643,36.51700821372957,149205.7791180222,165464.3448213278,0.4741656985102925,6140222.39737542,972.3708982334247,3415478254.2069063,653162.5503445215,412.8497425805293,0.07895175161511718,0.004996572423216629,0.627116492892144,0.010391974802741849,0.007694273612979238,0.7146881677717939,0.8667263971085588,-0.7848477120922858,-0.24332275137210907,-0.5415249607201766,-0.2883418759079388,0.0,-0.2883418759079388,0.0,0.0,0.0,0.5620597749008087,73.21767797584653,76.31237288370855
2018-08-13 00:00:00+00:00,265267.0,274.0,917.0,0.39424707191648906,1842.0,2692248.0,2692248.0,8741.06493506,8741.06493506,308.0,320151356.15153277,51094.65692622108,434133426.6778079,91855.58877191316,0.73744922,0.006171457125657504,38.6694125584066,0.0110947574944372,52.43671238316741,6265.84804383402,6255.522912040353,241897.39625425343,11772.0,4934.0,7591.0,235149.17921396,9093080.623795308,49741.83852957,1923487.6755135874,0.8338001,30.9773652,2.52662281,97.70301981937057,3.626029121177286,0.27578377519354386,8279188.51024627,8282751.55438984,3847294.6691572703,1802.0,95.91210045692559,40832.21359223301,3903593162.36787,3904445771.686449,56949.071197411,318508000000,0.0,0.0,0.0,3755.8403700342114,1876.6568736121058,625.5522912040353,6258.049534850353,145236.14077237144,72569.21887627603,24189.739625425344,241995.0992740728,23.179007814479753,11.581707435067564,3.860569145022522,38.62128439456984,172833.6050233799,62315.57419058008,0.7349955700509602,6683373.976605773,1066.6351832746125,3422161628.183512,654229.1855277962,413.34505476572576,0.07902093118403167,0.004946742864274151,0.6002379173228838,0.010281684891189097,0.007614213877731624,0.7039875350176948,0.8667187788384142,-1.1543470718294753,-0.26878296611610025,-0.885564105713375,-0.3560255745795611,0.0,-0.3560255745795611,0.0,0.0,0.0,0.5300559543718274,72.9534537617523,76.22483318522526
2018-08-14 00:00:00+00:00,265570.0,145.0,918.0,0.39453972450613334,1844.0,2684147.0,2684147.0,8858.5709571,8858.5709571,303.0,320466160.68866616,51814.877380142585,430154593.9663716,91212.2674033913,0.7450023,0.006253806549970779,38.6787246461154,0.011008882084967022,51.91759111019077,6184.82908562244,6145.704382529482,237708.0075682825,11275.0,4803.0,7516.0,243090.10502789,9402415.23656903,68106.16054288,2634259.430342185,0.99,32.34301557,2.65823063,102.81697058363987,3.6935629149413725,0.27074129317108786,8285334.2146288,8288897.26181545,3860909.4234306696,1420.0,95.57813376743422,40951.66118421053,4079779444.55756,4079604987.4859843,62476.51973684211,323818000000,0.0,0.0,0.0,3690.0808601476892,1843.7113147588445,614.5704382529483,6148.362613159482,142727.62151155312,71312.40227048474,23770.800756828252,237810.82453886612,23.077051853113424,11.530213896494098,3.8434046321647,38.45067038177222,135720.94994975658,107369.15507813342,0.5583154029827136,5249513.251815844,848.772565764044,3427411141.435328,655077.9580935602,413.6720441987485,0.07906475962513831,0.004908671130240631,0.6133592391326004,0.010195993067316927,0.007552332098778779,0.6941259625540714,0.8667595223030118,-1.3567367368389003,-0.29382899879244156,-1.0629077380464587,-0.34227774015824425,0.0,-0.34227774015824425,0.0,0.0,0.0,0.5320797580904222,72.69347134145686,76.14174154176051
2018-08-15 00:00:00+00:00,265850.0,242.0,919.0,0.3948101036550843,1846.0,2566940.0,2566940.0,9167.64285714,9167.64285714,280.0,310209525.9083521,49473.508622839574,426311421.63894033,90599.34225635245,0.72765943,0.005967125312098183,37.4151574373514,0.010927416378707162,51.41850145077248,6270.21479865576,5677.962127970532,212441.8469413362,11372.0,4897.0,7645.0,256315.23517412,9590074.877631448,63053.89309216,2359171.33708109,0.987943165,33.52717268,2.56614172,96.01259646035571,4.0005729770950715,0.2499641940605538,8291012.17675677,8294575.22843765,3852784.480425429,1300.0,95.08057257217082,40843.49466192171,4340998930.03079,4339303091.959743,60455.55160142349,329038000000,0.0,0.0,0.0,3409.343418502319,1703.3886383911595,567.7962127970532,5680.5282696905315,127561.12076126206,63732.55408240086,21244.18469413362,212537.85953779655,20.343979410180534,10.164333460484345,3.388111153494782,33.896424024159664,123604.74434382207,132710.49083029793,0.48223721176720113,4624690.969627672,737.5649986694453,3432035832.404956,655815.5230922296,413.9465434662381,0.07909957302086218,0.004869501944145833,0.5902850089311847,0.010108888455261157,0.007489195199703495,0.6855286608810631,0.8666866541178375,-1.2377249819656895,-0.3095413707181933,-0.9281836112474962,-0.3742692794188701,0.0,-0.3742692794188701,0.0,0.0,0.0,0.5166336299790875,72.42106449567734,76.05771867924356
2018-08-16 00:00:00+00:00,266115.0,642.0,920.0,0.3950661504157076,1848.0,2378056.0,2378056.0,8973.79622642,8973.79622642,265.0,313562558.92322576,49845.0162904778,423303100.5114473,90121.12886212004,0.74075186,0.0060080373927527825,37.7950639638547,0.010862693050902783,51.02257047164036,6290.7504552893,5376.981973089278,203223.3776054029,10565.0,4371.0,6839.0,185439.11171154,7008683.088538052,35731.98625068,1350492.7059000272,0.8295696,27.11494542,2.37380295,89.71803433283698,4.2272474457505975,0.23656055455311495,8296389.15872986,8299952.21402117,3864103.2863974455,1483.0,95.55682084593984,40948.86842105263,4268654801.07226,4271359403.924906,55727.86090225564,333897000000,0.0,0.0,0.0,3228.5629868035667,1613.0945919267833,537.6981973089278,5379.355776039278,122023.74459757458,60967.01328162087,20322.337760540293,203313.09563973575,19.397327149573435,9.691532626343404,3.2305108754478016,32.31937065136464,141710.76531452878,43728.34639701122,0.7641902725190309,5355967.439429417,851.4035769653029,3437391799.844385,656666.926669195,414.32383824804026,0.07915093109852718,0.004835585602137708,0.5988201732216084,0.01003312456965166,0.007434355085894684,0.6772673425331178,0.866671373260791,-1.250097508708693,-0.32264099059495216,-0.9274565181137409,-0.3499797359897518,0.0,-0.3499797359897518,0.0,0.0,0.0,0.5238701920092959,72.14585700876076,75.95469882302365
2018-08-17 00:00:00+00:00,266437.0,1447.0,921.0,0.3953768153086009,1850.0,2934270.0,2934270.0,9112.63975155,9112.63975155,322.0,351650272.4632778,53580.08193619425,421082245.84245455,89782.742731208,0.83511066,0.00645316663588545,42.3526378414724,0.010813402647671864,50.71500082941551,6563.07828872005,6523.962750759907,276307.0316741904,12237.0,5342.0,7921.0,257917.48596314,10923485.87597991,53253.08543332,2255408.6412983914,0.9828628,32.56122787,2.76266931,117.00633276218045,3.486792928038874,0.28679649770955684,8302913.12148062,8306476.18140083,3867884.227570965,1731.0,95.67434629250774,40973.73684210526,3964401649.86085,3963053556.7061257,64188.12693498452,339379000000,0.0,0.0,0.0,3917.1403197659442,1957.188825227972,652.3962750759907,6526.725420069907,165901.22533727644,82892.10950225712,27630.703167419044,276424.0380069526,25.277959219595253,12.630065627088989,4.21002187569633,42.118046722380576,165612.2934323309,92305.19253080912,0.6421134759975102,7014117.4858351685,1068.7237264699886,3444405917.33022,657735.650395665,414.84306374579955,0.0792174554607858,0.004807481927809859,0.6473833642630463,0.009968076092334348,0.0073877790100721034,0.6702933127314515,0.8669936066679954,-1.0774088312669032,-0.33415132197650216,-0.743257509290401,-0.19744609578378014,0.0,0.0,-0.19744609578378014,0.0,0.0,0.5892936127723154,71.87017969230244,75.87644547672889
2018-08-18 00:00:00+00:00,266749.0,406.0,922.0,0.39567779607224857,1852.0,2475783.0,2475783.0,7935.20192308,7935.20192308,312.0,324736574.7254312,50745.73965060283,417715655.9968456,89256.65449504278,0.77741059,0.006107150355347754,39.081410604787,0.010741863513463965,50.27126088850201,6399.28744681473,6320.59603660088,247017.80897338834,11183.0,4826.0,7245.0,313484.91699818,12251432.759613445,84591.74667739,3305964.785675205,0.90632697,43.26913968,2.31218688,90.36352485228137,3.601721064244995,0.27764504306766,8309233.71751722,8312796.78321381,3875146.370947771,1477.0,95.87592037520768,41031.13418530351,4535921395.1314,4533044033.103766,68482.71884984025,345458000000,0.0,0.0,0.0,3794.669808840528,1896.178810980264,632.0596036600881,6322.90822348088,148301.04890888528,74105.3426920165,24701.78089733884,247108.17249824063,23.174619071487825,11.580249099281001,3.8600830330936677,38.614951203862496,141608.73439418175,171876.18260399823,0.45172423525245364,5534269.09408324,864.8258325757729,3449940186.4243035,658600.4762282408,415.1935429558645,0.07926127710667273,0.0047700671146424,0.6178747833801768,0.009884122996471342,0.00732709505555687,0.6626788639429047,0.8671879904437653,-1.1842270335589142,-0.34801131448737826,-0.836215719071536,-0.2863215557102841,0.0,-0.2863215557102841,0.0,0.0,0.0,0.5456773629363114,71.6199960989556,75.70277640849208
